[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115179 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115183 | BYD ATTO 2 | Dynamic | $35,530 | available | VIC
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115184 | BYD ATTO 2 | Dynamic | $35,530 | available | VIC
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115436 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115437 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115446 | BYD ATTO 2 | Dynamic | $35,530 | available | VIC
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115459 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115461 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115462 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115482 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115483 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115486 | BYD ATTO 2 | Dynamic | $36,155 | available | VIC
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115525 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115526 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115527 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115529 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115530 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115531 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115618 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-11 13:53:23 UTC] NEW MATCH - stock#8115619 | BYD ATTO 2 | Dynamic | $36,157 | available | NSW
[2026-09-12 00:38:11 UTC] NEW MATCH - stock#8100345 | BYD ATTO 2 | Dynamic | $35,161 | available | QLD
